name,noize,method,score,error
samples/0.jpeg,FLAT_UTURIKOMI(0.400000),BINARIZATION_MASK:,0.914322,"(0,2)",
samples/0.jpeg,FLAT_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.888442,"(1,3)",
samples/0.jpeg,FLAT_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.931718,"(0,0)",
samples/0.jpeg,FLAT_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.914724,"(-2,2)",
samples/0.jpeg,FLAT_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.915468,"(-2,2)",
samples/0.jpeg,FLAT_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.931403,"(0,0)",
samples/0.jpeg,FLAT_UTURIKOMI(1.600000),BINARIZATION_MASK:,0.942427,"(0,0)",
samples/0.jpeg,FLAT_UTURIKOMI(1.800000),BINARIZATION_MASK:,0.930256,"(-2,2)",
samples/0.jpeg,COMPLEX_UTURIKOMI(0.400000),,0.809313,"(0,2)",
samples/0.jpeg,COMPLEX_UTURIKOMI(0.600000),BINARIZATION_MASK:,0.947794,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.944611,"(-2,2)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.940658,"(-2,2)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.902643,"(-2,2)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.847332,"(-2,2)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.600000),FAILED,FAILED,FAILED,
samples/0.jpeg,DARKEN(0.400000),,0.967595,"(0,0)",
samples/0.jpeg,DARKEN(0.600000),,0.966387,"(0,2)",
samples/0.jpeg,DARKEN(0.800000),,0.974596,"(0,2)",
samples/0.jpeg,DARKEN(1.000000),,0.973805,"(0,2)",
samples/0.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/0.jpeg,ROTATE(0.400000),BINARIZATION_MASK:,0.908409,"(0,4)",
samples/0.jpeg,ROTATE(0.600000),BINARIZATION_MASK:,0.862184,"(0,4)",
samples/0.jpeg,ROTATE(0.800000),BINARIZATION_MASK:,0.890823,"(0,4)",
samples/0.jpeg,ROTATE(1.000000),,0.948780,"(0,0)",
samples/0.jpeg,ROTATE(1.200000),BINARIZATION_MASK:,0.883132,"(0,4)",
samples/0.jpeg,ROTATE(1.400000),BINARIZATION_MASK:,0.909083,"(0,4)",
samples/0.jpeg,ROTATE(1.600000),BINARIZATION_MASK:,0.859660,"(0,4)",
samples/0.jpeg,ROTATE(1.800000),BINARIZATION_MASK:,0.884687,"(0,4)",
samples/0.jpeg,STRECH(0.400000),BINARIZATION_MASK:,0.908409,"(0,4)",
samples/0.jpeg,STRECH(0.600000),FAILED,FAILED,FAILED,
samples/0.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:,0.908409,"(0,4)",
samples/0.jpeg,SQUEEZE(0.600000),FAILED,FAILED,FAILED,
samples/0.jpeg,GAUSSIAN_NOISE(0.400000),MEAN_DENOISING:,0.811241,"(1,1)",
samples/0.jpeg,GAUSSIAN_NOISE(0.600000),FAILED,FAILED,FAILED,
samples/1.jpeg,FLAT_UTURIKOMI(0.400000),,0.949698,"(-1,-2)",
samples/1.jpeg,FLAT_UTURIKOMI(0.600000),,0.886642,"(-1,-2)",
samples/1.jpeg,FLAT_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.968346,"(-1,-2)",
samples/1.jpeg,FLAT_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.978772,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.918851,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.929476,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.600000),BINARIZATION_MASK:,0.904826,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.800000),BINARIZATION_MASK:,0.841938,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(0.400000),,0.957519,"(-1,1)",
samples/1.jpeg,COMPLEX_UTURIKOMI(0.600000),,0.914035,"(-1,-2)",
samples/1.jpeg,COMPLEX_UTURIKOMI(0.800000),BINARIZATION_MASK:,0.961552,"(-1,-2)",
samples/1.jpeg,COMPLEX_UTURIKOMI(1.000000),BINARIZATION_MASK:,0.929166,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(1.200000),BINARIZATION_MASK:,0.858354,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(1.400000),BINARIZATION_MASK:,0.846611,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(1.600000),FAILED,FAILED,FAILED,
samples/1.jpeg,DARKEN(0.400000),MEAN_DENOISING:,0.978119,"(0,0)",
samples/1.jpeg,DARKEN(0.600000),,0.991061,"(1,-1)",
samples/1.jpeg,DARKEN(0.800000),,0.993212,"(1,-1)",
samples/1.jpeg,DARKEN(1.000000),,0.993095,"(1,-1)",
samples/1.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/1.jpeg,ROTATE(0.400000),BINARIZATION_MASK:,0.960791,"(1,2)",
samples/1.jpeg,ROTATE(0.600000),BINARIZATION_MASK:,0.962139,"(1,0)",
samples/1.jpeg,ROTATE(0.800000),BINARIZATION_MASK:,0.997877,"(1,0)",
samples/1.jpeg,ROTATE(1.000000),,0.991190,"(-2,-1)",
samples/1.jpeg,ROTATE(1.200000),BINARIZATION_MASK:,0.957750,"(1,0)",
samples/1.jpeg,ROTATE(1.400000),BINARIZATION_MASK:,0.959384,"(1,0)",
samples/1.jpeg,ROTATE(1.600000),BINARIZATION_MASK:,0.962201,"(1,0)",
samples/1.jpeg,ROTATE(1.800000),BINARIZATION_MASK:,0.997641,"(1,0)",
samples/1.jpeg,STRECH(0.400000),BINARIZATION_MASK:,0.960791,"(1,2)",
samples/1.jpeg,STRECH(0.600000),FAILED,FAILED,FAILED,
samples/1.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:,0.960791,"(1,2)",
samples/1.jpeg,SQUEEZE(0.600000),FAILED,FAILED,FAILED,
