name,noize,method,score,error
samples/0.jpeg,FLAT_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,FLAT_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,FLAT_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,FLAT_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,FLAT_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,FLAT_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,FLAT_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,FLAT_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.916839,"(-1,1)",
samples/0.jpeg,COMPLEX_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.909178,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.909613,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.909613,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.908018,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.898194,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.898194,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.909606,"(0,0)",
samples/0.jpeg,COMPLEX_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.909613,"(0,0)",
samples/0.jpeg,DARKEN(0.400000),,0.967595,"(0,0)",
samples/0.jpeg,DARKEN(0.600000),,0.967678,"(0,0)",
samples/0.jpeg,DARKEN(0.800000),,0.967708,"(0,0)",
samples/0.jpeg,DARKEN(1.000000),,0.967741,"(0,0)",
samples/0.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/0.jpeg,ROTATE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.918539,"(4,4)",
samples/0.jpeg,ROTATE(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.875927,"(7,5)",
samples/0.jpeg,ROTATE(0.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.864613,"(6,5)",
samples/0.jpeg,ROTATE(1.000000),HOMOGRAPHY_TRANSFORM:,0.943956,"(2,2)",
samples/0.jpeg,ROTATE(1.200000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.860144,"(6,5)",
samples/0.jpeg,ROTATE(1.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.957459,"(7,5)",
samples/0.jpeg,ROTATE(1.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.875008,"(7,5)",
samples/0.jpeg,ROTATE(1.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.868328,"(6,5)",
samples/0.jpeg,STRECH(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.918539,"(4,4)",
samples/0.jpeg,STRECH(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.817071,"(9,6)",
samples/0.jpeg,STRECH(0.800000),FAILED,FAILED,FAILED,
samples/0.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.918539,"(4,4)",
samples/0.jpeg,SQUEEZE(0.600000),MEAN_DENOISING:BINARIZATION_MASK:BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.905347,"(16,9)",
samples/0.jpeg,SQUEEZE(0.800000),FAILED,FAILED,FAILED,
samples/0.jpeg,GAUSSIAN_NOISE(0.400000),,0.830322,"(-1,1)",
samples/0.jpeg,GAUSSIAN_NOISE(0.600000),,0.805442,"(-1,1)",
samples/0.jpeg,GAUSSIAN_NOISE(0.800000),FAILED,FAILED,FAILED,
samples/1.jpeg,FLAT_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,FLAT_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.965936,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.909146,"(0,0)",
samples/1.jpeg,COMPLEX_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.909143,"(0,0)",
